trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
6548385,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548386,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548387,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6548388,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6548472,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6548389,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6548390,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6548391,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548392,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548393,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6548394,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6548395,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6548396,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6548397,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6548398,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548399,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548400,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6548401,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6548402,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6548403,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6548404,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6548405,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548406,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548407,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6548408,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6548409,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6548410,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6548411,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6548412,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548413,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548414,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6548415,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6548416,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6548417,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6548418,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6548419,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6548420,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6548421,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6553165,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6553166,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6553167,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6553168,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6553169,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6553170,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6553171,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6553172,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6553173,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6553174,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6553175,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6553176,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6553177,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6553178,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
6553179,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049708,328,0,0
6553180,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049714,328,0,0
6553181,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049709,328,0,0
6553182,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049712,328,0,0
6553183,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049710,328,0,0
6553184,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049711,328,0,0
6553185,15787,2,BLUE EASTBOUND TO INDIAN CREEK STATION,,0,1049713,328,0,0
